Body_style,City,Class,Color,Fuel,Km,Link,Make,Model,Price,Title,Transmission,Used_since
Sedan,Cairo,,Red,gas,0 Km,https://eg.hatla2ee.com/en/car/seat/ibiza/7010702,Seat,Ibiza,165000,Used Seat Ibiza 1994 for sale Cairo,manual,1994
,6 October,,Silver,gas,"186,000 Km",https://eg.hatla2ee.com/en/car/brilliance/v5/7010696,Brilliance,V5,490000,Used Brilliance V5 2014 for sale 6 October,automatic,2014
,Shobra,,Silver,gas,"248,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/lanos2/7010624,Chevrolet,Lanos,330000,Used Chevrolet Lanos 2014 for sale Shobra,manual,2014
Sedan,Tagamo3 - New Cairo,,Red,gas,"229,000 Km",https://eg.hatla2ee.com/en/car/kia/cerato/7010487,Kia,Cerato,690000,Used Kia Cerato 2013 for sale Tagamo3 - New Cairo,automatic,2013
,Sheikh Zayed City,,White,gas,"150,000 Km",https://eg.hatla2ee.com/en/car/renault/megane/7010307,Renault,Megane,800000,Used Renault Megane 2020 for sale Sheikh Zayed City,automatic,2020
MiniVans,Cairo,,Dark grey,gas,"153,000 Km",https://eg.hatla2ee.com/en/car/kenbo/kenbo-minivan/7010192,Kenbo,Minivan,290000,Used Kenbo Minivan 2016 for sale Cairo,manual,2016
,Maadi,,Olive,gas,"70,000 Km",https://eg.hatla2ee.com/en/car/opel/corsa/7010105,Opel,Corsa,590000,Used Opel Corsa 2016 for sale Maadi,automatic,2016
Hatchback,Kafr el-Sheikh,,Silver,gas,"160,000 Km",https://eg.hatla2ee.com/en/car/opel/corsa/7010031,Opel,Corsa,155000,Used Opel Corsa 2000 for sale Kafr el-Sheikh,manual,2000
,Faqous,,Cyan,gas,"225,000 Km",https://eg.hatla2ee.com/en/car/toyota/corolla/7009949,Toyota,Corolla,600000,Used Toyota Corolla 2006 for sale Faqous,automatic,2006
,Cairo,,Silver,gas,"34,600 Km",https://eg.hatla2ee.com/en/car/renault/sandero-step-way/7009868,Renault,Sandero Step Way,740000,Used Renault Sandero Step Way 2022 for sale Cairo,automatic,2022
