Body_style,City,Class,Color,Fuel,Km,Link,Make,Model,Price,Title,Transmission,Used_since
,Cairo,,Silver,gas,"219,000 Km",https://eg.hatla2ee.com/en/car/hyundai/i30/6919644,Hyundai,I30,595000,Used Hyundai I30 2010 for sale Cairo,automatic,2010
Sedan,Amreya,,Black,gas,"172,000 Km",https://eg.hatla2ee.com/en/car/speranza/envy/7000148,Speranza,Envy,280000,Used Speranza Envy 2017 for sale Amreya,manual,2017
Sedan,Tagamo3 - New Cairo,,Black,gas,"323,300 Km",https://eg.hatla2ee.com/en/car/bmw/525/7000150,BMW,525,750000,Used BMW 525 2007 for sale Tagamo3 - New Cairo,automatic,2007
Sedan,Beni Suef,,Silver,gas,"44,000 Km",https://eg.hatla2ee.com/en/car/renault/megane/7000152,Renault,Megane,1000000,Used Renault Megane 2021 for sale Beni Suef,automatic,2021
Sedan,Mokattam,,Dark green,gas,0 Km,https://eg.hatla2ee.com/en/car/hyundai/excel/7000122,Hyundai,Excel,140000,Used Hyundai Excel 1998 for sale Mokattam,manual,1998
,Touhk,,Green,gas,0 Km,https://eg.hatla2ee.com/en/car/skoda/felicia/7000046,Skoda,Felicia,135000,Used Skoda Felicia 1996 for sale Touhk,manual,1996
,Dakahlia,,Red,gas,"250,000 Km",https://eg.hatla2ee.com/en/car/bmw/316/7000158,BMW,316,375000,Used BMW 316 1992 for sale Dakahlia,manual,1992
Sedan,El Haram,,White,gas,0 Km,https://eg.hatla2ee.com/en/car/fiat/shahin/7000164,Fiat,Shahin,100000,Used Fiat Shahin 2000 for sale El Haram,manual,2000
,Zamalek,,Black,gas,"2,000 Km",https://eg.hatla2ee.com/en/car/skoda/kodiaq/6962850,Skoda,Kodiaq,2850000,Used Skoda Kodiaq 2024 for sale Zamalek,automatic,2024
,Mansoura,,Red,gas,"220,000 Km",https://eg.hatla2ee.com/en/car/hyundai/accent/7000174,Hyundai,Accent,0,Used Hyundai Accent 2000 for sale Mansoura,automatic,2000
Hatchback,Giza,,Black,gas,"140,000 Km",https://eg.hatla2ee.com/en/car/renault/sandero-step-way/7000181,Renault,Sandero Step Way,550000,Used Renault Sandero Step Way 2018 for sale Giza,automatic,2018
SUV,6 October,,Red,gas,"140,000 Km",https://eg.hatla2ee.com/en/car/peugeot/2008/7000062,Peugeot,2008,1150000,Used Peugeot 2008 2021 for sale 6 October,automatic,2021
Sedan,Sharqia,,Silver,gas,"215,000 Km",https://eg.hatla2ee.com/en/car/toyota/corolla/7000193,Toyota,Corolla,560000,Used Toyota Corolla 2002 for sale Sharqia,automatic,2002
Sedan,Nasr city,,White,gas,0 Km,https://eg.hatla2ee.com/en/car/geely/emgrand7/7000186,Geely,Emgrand 7,365000,Used Geely Emgrand 7 2018 for sale Nasr city,manual,2018
,Heliopolis,,Dark blue,gas,"371,000 Km",https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/7000188,Daewoo,Nubira 2,250000,Used Daewoo Nubira 2 2002 for sale Heliopolis,automatic,2002
,Ismailia,,Silver,gas,"127,000 Km",https://eg.hatla2ee.com/en/car/volks-wagen/passat/7000185,Volkswagen,Passat,1380000,Used Volkswagen Passat 2018 for sale Ismailia,automatic,2018
Sedan,Cairo,,Silver,gas,"160,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/cruze/7000196,Chevrolet,Cruze,580000,Used Chevrolet Cruze 2016 for sale Cairo,automatic,2016
SUV,Nasr city,,White,gas,"119,000 Km",https://eg.hatla2ee.com/en/car/kia/sportage/7000203,Kia,Sportage,1550000,Used Kia Sportage 2019 for sale Nasr city,automatic,2019
,Tanta,,White,gas,"142,000 Km",https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/7000208,Daewoo,Nubira 2,260000,Used Daewoo Nubira 2 2003 for sale Tanta,automatic,2003
,Sheikh Zayed City,,White,gas,"147,000 Km",https://eg.hatla2ee.com/en/car/renault/megane/6980777,Renault,Megane,800000,Used Renault Megane 2018 for sale Sheikh Zayed City,automatic,2018
,6 October,,Gold,gas,"166,000 Km",https://eg.hatla2ee.com/en/car/volks-wagen/beetle/7000082,Volkswagen,Beetle,1000000,Used Volkswagen Beetle 2005 for sale 6 October,automatic,2005
,Mokattam,,Eggplant,gas,"146,000 Km",https://eg.hatla2ee.com/en/car/opel/astra/6997942,Opel,Astra,685000,Used Opel Astra 2017 for sale Mokattam,automatic,2017
,Sheikh Zayed City,,White,gas,"126,000 Km",https://eg.hatla2ee.com/en/car/peugeot/3008/6997952,Peugeot,3008,1550000,Used Peugeot 3008 2021 for sale Sheikh Zayed City,automatic,2021
,6 October,,Black,gas,"58,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/captiva/6997860,Chevrolet,Captiva,1140000,Used Chevrolet Captiva 2021 for sale 6 October,automatic,2021
Sedan,El Haram,,Black,gas,"365,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7000229,Nissan,Sunny,385000,Used Nissan Sunny 2012 for sale El Haram,automatic,2012
,Cairo,,Silver,gas,"260,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/6989119,Nissan,Sunny,425000,Used Nissan Sunny 2015 for sale Cairo,automatic,2015
,6 October,,Dark red,gas,"185,000 Km",https://eg.hatla2ee.com/en/car/hyundai/verna/7000234,Hyundai,Verna,400000,Used Hyundai Verna 2014 for sale 6 October,automatic,2014
Sedan,Shubra al-Khaimah,,Black,gas,"155,000 Km",https://eg.hatla2ee.com/en/car/geely/mk/6999618,Geely,Mk,140000,Used Geely Mk 2009 for sale Shubra al-Khaimah,manual,2009
,El Katameya,,Black,gas,"184,000 Km",https://eg.hatla2ee.com/en/car/mercedes/c-200/7000230,Mercedes,C 200,700000,Used Mercedes C 200 2005 for sale El Katameya,automatic,2005
SUV,6 October,,Black,gas,"100,000 Km",https://eg.hatla2ee.com/en/car/hyundai/IX-35/7000206,Hyundai,IX 35,920000,Used Hyundai IX 35 2016 for sale 6 October,automatic,2016
,Nasr city,,Red,gas,"110,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/7000245,Mitsubishi,Lancer EX Shark,300000,Used Mitsubishi Lancer EX Shark 2016 for sale Nasr city,automatic,2016
,Nasr city,,Red,gas,"140,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6986446,Mitsubishi,Lancer EX Shark,350000,Used Mitsubishi Lancer EX Shark 2018 for sale Nasr city,automatic,2018
,Madinaty,,White,gas,"185,000 Km",https://eg.hatla2ee.com/en/car/peugeot/508/7000241,Peugeot,508,975000,Used Peugeot 508 2018 for sale Madinaty,automatic,2018
,6 October,,Dark red,gas,"168,000 Km",https://eg.hatla2ee.com/en/car/hyundai/grand-i10/7000243,Hyundai,Grand i10,600000,Used Hyundai Grand i10 2015 for sale 6 October,automatic,2015
,Sharqia,,Other,gas,"130,000 Km",https://eg.hatla2ee.com/en/car/hyundai/Elantra-MD/7000257,Hyundai,Elantra MD,660000,Used Hyundai Elantra MD 2013 for sale Sharqia,automatic,2013
,Nasr city,,Red,gas,"120,000 Km",https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/7000264,Daewoo,Nubira 2,300000,Used Daewoo Nubira 2 2005 for sale Nasr city,manual,2005
Sedan,Alexandria,,Silver,gas,"135,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Crystala/7000266,Mitsubishi,Lancer Crystala,250000,Used Mitsubishi Lancer Crystala 1999 for sale Alexandria,manual,1999
Sedan,Nasr city,,Silver,gas,"300,000 Km",https://eg.hatla2ee.com/en/car/opel/astra/7000251,Opel,Astra,270000,Used Opel Astra 2000 for sale Nasr city,manual,2000
,6 October,,Dark blue,gas,"126,000 Km",https://eg.hatla2ee.com/en/car/opel/meriva/7000271,Opel,Meriva,580000,Used Opel Meriva 2016 for sale 6 October,automatic,2016
,Mansoura,,Blue,gas,"250,000 Km",https://eg.hatla2ee.com/en/car/volks-wagen/Golf-2/6986637,Volkswagen,Golf 2,170000,Used Volkswagen Golf 2 1988 for sale Mansoura,manual,1988
Sedan,Tagamo3 - New Cairo,,Black,gas,"260,000 Km",https://eg.hatla2ee.com/en/car/volks-wagen/passat/7000273,Volkswagen,Passat,750000,Passat 2008 / highline,automatic,2008
,Gharbia,,Silver,gas,0 Km,https://eg.hatla2ee.com/en/car/fiat/tempra/7000247,Fiat,Tempra,135000,Used Fiat Tempra 1999 for sale Gharbia,manual,1999
SUV,10th of Ramadan,,Green,gas,"45,000 Km",https://eg.hatla2ee.com/en/car/acura/MDX/6996577,Acura,MDX,390000,honda civic,manual,2025
,Cairo,,Silver,gas,"28,000 Km",https://eg.hatla2ee.com/en/car/byd/f3/6997983,Byd,F3,630000,Used Byd F3 2025 for sale Cairo,automatic,2025
SUV,Alexandria,,Petroleum,gas,"140,000 Km",https://eg.hatla2ee.com/en/car/chery/Tiggo3/7000254,Chery,Tiggo 3,550000,Used Chery Tiggo 3 2018 for sale Alexandria,automatic,2018
Sedan,Zagazig,,White,gas,0 Km,https://eg.hatla2ee.com/en/car/fiat/tipo/7000109,Fiat,Tipo,120000,Used Fiat Tipo 1994 for sale Zagazig,manual,1994
,Tagamo3 - New Cairo,,Blue,gas,"90,000 Km",https://eg.hatla2ee.com/en/car/skoda/Octavia-A8/7000290,Skoda,Octavia A8,1510000,Used Skoda Octavia A8 2021 for sale Tagamo3 - New Cairo,automatic,2021
SUV,Tagamo3 - New Cairo,,Red,gas,"4,500 Km",https://eg.hatla2ee.com/en/car/jetour/Dashing/7000296,Jetour,Dashing,1400000,Used Jetour Dashing 2025 for sale Tagamo3 - New Cairo,automatic,2025
Sedan,Al Shorouk,,White,Hybrid,"1,200 Km",https://eg.hatla2ee.com/en/car/honda/city/7000306,Honda,City,500000,Imported used Honda City  for sale Al Shorouk,manual,2024
,Beni Suef,,Petroleum,gas,"160,000 Km",https://eg.hatla2ee.com/en/car/volks-wagen/passat/6994754,Volkswagen,Passat,1500000,Used Volkswagen Passat 2021 for sale Beni Suef,automatic,2021
Sedan,Cairo,,White,gas,"11,000 Km",https://eg.hatla2ee.com/en/car/jeep/cherokee/7000314,Jeep,Cherokee,3500000,Used Jeep Cherokee 2021 for sale Cairo,automatic,2021
SUV,Mit Ghamr,,White,gas,"48,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Eclipse-Cross/7000323,Mitsubishi,Eclipse Cross,1100000,Used Mitsubishi Eclipse Cross 2018 for sale Mit Ghamr,automatic,2018
,Cairo,,Black,gas,"142,000 Km",https://eg.hatla2ee.com/en/car/mercedes/e-200/6998018,Mercedes,E 200,2300000,Used Mercedes E 200 2015 for sale Cairo,automatic,2015
,Imbaba,,Dark blue,gas,"177,000 Km",https://eg.hatla2ee.com/en/car/bmw/320/6998032,BMW,320,1200000,Used BMW 320 2013 for sale Imbaba,automatic,2013
Sedan,10th of Ramadan,,Black,gas,"1,200 Km",https://eg.hatla2ee.com/en/car/peugeot/508/6997555,Peugeot,508,1950000,Peugeot 508 2021,automatic,2021
,Tagamo3 - New Cairo,,Silver,gas,"148,000 Km",https://eg.hatla2ee.com/en/car/kia/rio/7000147,Kia,Rio,580000,Used Kia Rio 2015 for sale Tagamo3 - New Cairo,automatic,2015
,Dakahlia,,Dark grey,gas,"60,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7000329,Nissan,Sunny,510000,Used Nissan Sunny 2017 for sale Dakahlia,automatic,2017
,Nasr city,,Brown,gas,"170,000 Km",https://eg.hatla2ee.com/en/car/jeep/grand-Cherokee/7000337,Jeep,Grand Cherokee,1730000,Used Jeep Grand Cherokee 2016 for sale Nasr city,automatic,2016
Sedan,6 October,,Dark blue,gas,"12,000 Km",https://eg.hatla2ee.com/en/car/peugeot/508/7000334,Peugeot,508,2150000,Used Peugeot 508 2024 for sale 6 October,automatic,2024
Sedan,6 October,,Black,gas,"160,000 Km",https://eg.hatla2ee.com/en/car/kia/rio/7000302,Kia,Rio,540000,Used Kia Rio 2013 for sale 6 October,automatic,2013
Sedan,6 October,,Blue,gas,"105,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7000301,Chevrolet,Optra,585000,Used Chevrolet Optra 2019 for sale 6 October,automatic,2019
,Cairo,,Black,gas,"50,000 Km",https://eg.hatla2ee.com/en/car/hyundai/Elantra-HD/7000344,Hyundai,Elantra HD,825000,Used Hyundai Elantra HD 2023 for sale Cairo,automatic,2023
Sedan,Tagamo3 - New Cairo,,Black,gas,,https://eg.hatla2ee.com/en/new-car/imported/mercedes/e-200/7000346,Mercedes,E 200,5950000,Imported new Mercedes E 200 2025 for sale Tagamo3 - New Cairo,automatic,2025
,Port Said,,Blue,gas,"105,000 Km",https://eg.hatla2ee.com/en/car/honda/civic/7000349,Honda,Civic,1200000,Used Honda Civic 2019 for sale Port Said,automatic,2019
Sedan,Kafr el-Sheikh,,White,gas,"250,000 Km",https://eg.hatla2ee.com/en/car/daewoo/lanos-2/7000351,Daewoo,Lanos 2,235000,Used Daewoo Lanos 2 2000 for sale Kafr el-Sheikh,automatic,2000
,Nasr city,,Red,gas,"147,000 Km",https://eg.hatla2ee.com/en/car/chery/Arrizo-5/7000352,Chery,Arrizo 5,475000,Used Chery Arrizo 5 2020 for sale Nasr city,manual,2020
,Suez,,Eggplant,gas,"165,000 Km",https://eg.hatla2ee.com/en/car/kia/cerato/7000360,Kia,Cerato,620000,Used Kia Cerato 2010 for sale Suez,automatic,2010
,Mohandessin,,Silver,gas,"127,000 Km",https://eg.hatla2ee.com/en/car/nissan/sentra/7000364,Nissan,Sentra,650000,Used Nissan Sentra 2016 for sale Mohandessin,automatic,2016
,Cairo,,White,gas,"250,000 Km",https://eg.hatla2ee.com/en/car/fiat/siena/7000370,Fiat,Siena,120000,Used Fiat Siena 2002 for sale Cairo,manual,2002
Sedan,Nasr city,,Bronze,gas,"54,000 Km",https://eg.hatla2ee.com/en/car/nissan/sentra/6978619,Nissan,Sentra,700000,Used Nissan Sentra 2016 for sale Nasr city,automatic,2016
,El Haram,,Dark blue,gas,"127,000 Km",https://eg.hatla2ee.com/en/car/subaru/xv/7000373,Subaru,XV,880000,Used Subaru XV 2020 for sale El Haram,automatic,2020
,Khanka,,Petroleum,gas,"118,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6999291,Mitsubishi,Lancer Puma,425000,Used Mitsubishi Lancer Puma 2008 for sale Khanka,manual,2008
,Alexandria,,Silver,natural gas,"200,000 Km",https://eg.hatla2ee.com/en/car/geely/emgrand7/6999886,Geely,Emgrand 7,290000,Used Geely Emgrand 7 2014 for sale Alexandria,manual,2014
,Shobra,,Dark red,gas,"150,000 Km",https://eg.hatla2ee.com/en/car/hyundai/verna/7000375,Hyundai,Verna,260000,Used Hyundai Verna 2008 for sale Shobra,manual,2008
,Tanta,,Red,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7000377,Nissan,Sunny,465000,Used Nissan Sunny 2015 for sale Tanta,automatic,2015
,Obour City,,Red,gas,"98,000 Km",https://eg.hatla2ee.com/en/car/geely/gelly-pandino/7000381,Geely,Pandino,285000,Used Geely Pandino 2011 for sale Obour City,automatic,2011
,Damietta,,Silver,gas,"96,000 Km",https://eg.hatla2ee.com/en/car/seat/Tarraco/6994652,Seat,Tarraco,1350000,Used Seat Tarraco 2021 for sale Damietta,automatic,2021
,Alexandria,,Dark grey,gas,"175,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/aveo/6988376,Chevrolet,Aveo,360000,Used Chevrolet Aveo 2014 for sale Alexandria,manual,2014
,Obour City,,White,gas,"20,000 Km",https://eg.hatla2ee.com/en/car/kia/sportage/6998106,Kia,Sportage,1900000,Used Kia Sportage 2023 for sale Obour City,automatic,2023
Sedan,Cairo,,Green,diesel,"65,000 Km",https://eg.hatla2ee.com/en/car/fiat/tipo/7000391,Fiat,Tipo,880000,Used Fiat Tipo  for sale Cairo,automatic,2022
,6 October,,Cyan,gas,"350,000 Km",https://eg.hatla2ee.com/en/car/fiat/puntu/7000395,Fiat,Punto,200000,Used Fiat Punto 2001 for sale 6 October,manual,2001
,Cairo,,Dark blue,gas,"84,000 Km",https://eg.hatla2ee.com/en/car/renault/megane/6998306,Renault,Megane,830000,Used Renault Megane 2021 for sale Cairo,automatic,2021
,Obour City,,Dark blue,gas,"450,000 Km",https://eg.hatla2ee.com/en/car/jeep/cherokee/7000404,Jeep,Cherokee,315000,Used Jeep Cherokee 1999 for sale Obour City,automatic,1999
,El Katameya,,Other,gas,"45,000 Km",https://eg.hatla2ee.com/en/car/suzuki/van/7000407,Suzuki,Van,250000,Used Suzuki Van 2014 for sale El Katameya,manual,2014
,Alexandria,,Eggplant,gas,"133,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/cruze/6987756,Chevrolet,Cruze,470000,Used Chevrolet Cruze 2016 for sale Alexandria,automatic,2016
,Suez,,Red,gas,"105,000 Km",https://eg.hatla2ee.com/en/car/hyundai/i10/7000410,Hyundai,I10,395000,Used Hyundai I10 2012 for sale Suez,manual,2012
,Pyramids Gardens,,Silver,gas,"184,000 Km",https://eg.hatla2ee.com/en/car/renault/logan/7000393,Renault,Logan,320000,Used Renault Logan 2009 for sale Pyramids Gardens,automatic,2009
,Nasr city,,Eggplant,gas,"48,000 Km",https://eg.hatla2ee.com/en/car/hyundai/Accent-RB/7000418,Hyundai,Accent RB,740000,Used Hyundai Accent RB 2021 for sale Nasr city,automatic,2021
,Sharm el-Sheikh,,Silver,gas,"218,800 Km",https://eg.hatla2ee.com/en/car/hyundai/matrix/7000421,Hyundai,Matrix,430000,Used Hyundai Matrix 2001 for sale Sharm el-Sheikh,automatic,2001
,Helwan,,Gray,gas,"250,000 Km",https://eg.hatla2ee.com/en/car/opel/astra/7000284,Opel,Astra,530000,Used Opel Astra 2013 for sale Helwan,automatic,2013
,Cairo,,Gray,gas,"300,000 Km",https://eg.hatla2ee.com/en/car/renault/megane/7000423,Renault,Megane,320000,Used Renault Megane 2005 for sale Cairo,automatic,2005
SUV,Heliopolis,,Red,gas,"101,000 Km",https://eg.hatla2ee.com/en/car/jeep/Renegade/6998154,Jeep,Renegade,1080000,Used Jeep Renegade 2020 for sale Heliopolis,automatic,2020
,Ismailia,,Dark grey,gas,"4,250 Km",https://eg.hatla2ee.com/en/car/seat/Tarraco/6998107,Seat,Tarraco,2100000,Used Seat Tarraco 2023 for sale Ismailia,automatic,2023
,Beni Suef,,Black,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/volks-wagen/polo/7000430,Volkswagen,Polo,220000,Used Volkswagen Polo 1998 for sale Beni Suef,manual,1998
Sedan,Zefta,,Black,gas,"145,000 Km",https://eg.hatla2ee.com/en/car/toyota/corolla/7000435,Toyota,Corolla,500000,Used Toyota Corolla 2008 for sale Zefta,automatic,2008
,Giza,,Gray,gas,"100,000 Km",https://eg.hatla2ee.com/en/car/lada/2107/7000437,Lada,2107,120000,Used Lada 2107 2011 for sale Giza,manual,2011
,Alexandria,,Silver,gas,"15,000 Km",https://eg.hatla2ee.com/en/car/hyundai/Elantra-AD/7000444,Hyundai,Elantra AD,1155000,Used Hyundai Elantra AD 2025 for sale Alexandria,automatic,2025
,Mit Ghamr,,Blue,gas,"300,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/lanos2/7000451,Chevrolet,Lanos,210000,Used Chevrolet Lanos 2009 for sale Mit Ghamr,manual,2009
,6 October,,Black,gas,"10,000 Km",https://eg.hatla2ee.com/en/car/skoda/kodiaq/6999141,Skoda,Kodiaq,2850000,Used Skoda Kodiaq 2025 for sale 6 October,automatic,2025
,Asyut,,Black,gas,"220,000 Km",https://eg.hatla2ee.com/en/car/toyota/corolla/7000465,Toyota,Corolla,650000,Used Toyota Corolla 2010 for sale Asyut,automatic,2010
,Tanta,,Black,gas,"140,000 Km",https://eg.hatla2ee.com/en/car/skoda/fantasia/7000464,Skoda,Fantasia,760000,Used Skoda Fantasia 2010 for sale Tanta,automatic,2010
Sedan,Giza,,Silver,gas,"134,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/7000202,Mitsubishi,Lancer EX Shark,750000,Used Mitsubishi Lancer EX Shark 2018 for sale Giza,automatic,2018
,Sheikh Zayed City,,White,gas,"14,000 Km",https://eg.hatla2ee.com/en/car/kia/Xceed/6998223,Kia,Xceed,1500000,Used Kia Xceed 2025 for sale Sheikh Zayed City,automatic,2025
Sedan,Alexandria,,Black,gas,"86,000 Km",https://eg.hatla2ee.com/en/car/kia/Grand-Cerato/6998221,Kia,Grand Cerato,1200000,Used Kia Grand Cerato 2022 for sale Alexandria,automatic,2022
,Cairo,,Silver,gas,"109,000 Km",https://eg.hatla2ee.com/en/car/toyota/corolla/6996947,Toyota,Corolla,1050000,Used Toyota Corolla 2022 for sale Cairo,automatic,2022
,Sheikh Zayed City,,Blue,gas,"190,000 Km",https://eg.hatla2ee.com/en/car/bmw/x3/7000474,BMW,X3,1070000,Used BMW X3 2014 for sale Sheikh Zayed City,automatic,2014
,Mohandessin,,Silver,gas,"52,000 Km",https://eg.hatla2ee.com/en/car/citroen/c4/7000477,Citroën,C4,1300000,Used Citroën C4 2022 for sale Mohandessin,automatic,2022
,Beni Suef,,White,gas,"196,000 Km",https://eg.hatla2ee.com/en/car/citroen/zx/7000443,Citroën,ZX,120000,Used Citroën ZX 1996 for sale Beni Suef,manual,1996
,Damietta,,Other,gas,"240,000 Km",https://eg.hatla2ee.com/en/car/hyundai/Elantra-HD/7000483,Hyundai,Elantra HD,770000,Used Hyundai Elantra HD 2021 for sale Damietta,automatic,2021
,Sheikh Zayed City,,Gray,gas,"125,000 Km",https://eg.hatla2ee.com/en/car/mercedes/c-180/7000485,Mercedes,C 180,2050000,Used Mercedes C 180 2018 for sale Sheikh Zayed City,automatic,2018
,Nasr city,,Red,gas,"48,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/aveo/7000487,Chevrolet,Aveo,520000,Used Chevrolet Aveo 2018 for sale Nasr city,automatic,2018
,Madinaty,,Silver,gas,"207,000 Km",https://eg.hatla2ee.com/en/car/peugeot/peugeot-307-sw/7000490,Peugeot,307 SW,360000,Used Peugeot 307 SW 2007 for sale Madinaty,automatic,2007
,Shobra,,White,gas,"220,000 Km",https://eg.hatla2ee.com/en/car/hyundai/creta/7000494,Hyundai,Creta,870000,Used Hyundai Creta 2017 for sale Shobra,automatic,2017
Sedan,Shobra,,White,gas,"380,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/aveo/7000500,Chevrolet,Aveo,300000,Used Chevrolet Aveo 2007 for sale Shobra,manual,2007
,Sheikh Zayed City,,Black,gas,"214,000 Km",https://eg.hatla2ee.com/en/car/ford/focus/7000502,Ford,Focus,530000,Used Ford Focus 2014 for sale Sheikh Zayed City,automatic,2014
,6 October,,Black,gas,"210,000 Km",https://eg.hatla2ee.com/en/car/peugeot/405/7000503,Peugeot,405,195000,Used Peugeot 405 1996 for sale 6 October,manual,1996
,El Haram,,Petroleum,gas,"116,000 Km",https://eg.hatla2ee.com/en/car/peugeot/301/7000520,Peugeot,301,470000,Used Peugeot 301 2015 for sale El Haram,automatic,2015
SUV,Heliopolis,,Petroleum,gas,"79,000 Km",https://eg.hatla2ee.com/en/car/chery/Tiggo3/6984499,Chery,Tiggo 3,620000,Used Chery Tiggo 3 2019 for sale Heliopolis,automatic,2019
,Al Shorouk,,Dark grey,gas,"146,000 Km",https://eg.hatla2ee.com/en/car/skoda/Octavia-A7/6978775,Skoda,Octavia A7,850000,Used Skoda Octavia A7 2015 for sale Al Shorouk,automatic,2015
,Cairo,,Black,gas,"37,000 Km",https://eg.hatla2ee.com/en/car/moris-garage/mg-6/7000529,MG,6,1100000,Used MG 6 2022 for sale Cairo,automatic,2022
Hatchback,Al Shorouk,,Dark blue,gas,"340,000 Km",https://eg.hatla2ee.com/en/car/hyundai/matrix/7000530,Hyundai,Matrix,400000,Used Hyundai Matrix 2006 for sale Al Shorouk,manual,2006
Sedan,Alexandria,,Gray,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/lanos2/7000510,Chevrolet,Lanos,275000,Used Chevrolet Lanos 2011 for sale Alexandria,manual,2011
,Kafr el-Sheikh,,Bronze,gas,"190,000 Km",https://eg.hatla2ee.com/en/car/nissan/sentra/7000532,Nissan,Sentra,530000,Used Nissan Sentra 2017 for sale Kafr el-Sheikh,automatic,2017
,Alexandria,,White,gas,"160,000 Km",https://eg.hatla2ee.com/en/car/suzuki/van/7000534,Suzuki,Van,220000,Used Suzuki Van 2013 for sale Alexandria,manual,2013
,Nasr city,,Bronze,gas,"90,000 Km",https://eg.hatla2ee.com/en/car/hyundai/IX-35/7000541,Hyundai,IX 35,1150000,Used Hyundai IX 35 2015 for sale Nasr city,automatic,2015
,Alexandria,,Silver,gas,"112,000 Km",https://eg.hatla2ee.com/en/car/seat/leon/7000548,Seat,Leon,860000,Used Seat Leon 2015 for sale Alexandria,automatic,2015
,El Minya,,Gray,gas,"305,000 Km",https://eg.hatla2ee.com/en/car/peugeot/405/7000550,Peugeot,405,195000,Used Peugeot 405 1991 for sale El Minya,automatic,1991
,Beni Suef,,White,gas,"57,100 Km",https://eg.hatla2ee.com/en/car/chevrolet/pickup/6974327,Chevrolet,Pickup,460000,Used Chevrolet Pickup 2005 for sale Beni Suef,manual,2005
,Ashmoun,,Black,gas,"85,000 Km",https://eg.hatla2ee.com/en/car/hyundai/creta/7000552,Hyundai,Creta,900000,Used Hyundai Creta 2017 for sale Ashmoun,automatic,2017
,Obour City,,Cyan,gas,"170,000 Km",https://eg.hatla2ee.com/en/car/toyota/yaris/7000553,Toyota,Yaris,650000,Used Toyota Yaris 2015 for sale Obour City,automatic,2015
Sedan,6 October,,Red,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/bmw/316/7000555,BMW,316,950000,Used BMW 316 2015 for sale 6 October,automatic,2015
,6 October,,Bronze,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7000557,Nissan,Sunny,450000,Used Nissan Sunny 2016 for sale 6 October,automatic,2016
,Obour City,,White,gas,0 Km,https://eg.hatla2ee.com/en/car/fiat/125/7000559,Fiat,125,45000,Used Fiat 125 1975 for sale Obour City,manual,1975
,Tagamo3 - New Cairo,,Red,gas,"106,000 Km",https://eg.hatla2ee.com/en/car/audi/q3/7000560,Audi,Q3,1900000,Used Audi Q3 2020 for sale Tagamo3 - New Cairo,automatic,2020
MiniVans,Heliopolis,,Silver,gas,"26,000 Km",https://eg.hatla2ee.com/en/car/peugeot/5008/7000566,Peugeot,5008,1750000,Used Peugeot 5008 2020 for sale Heliopolis,automatic,2020
,Obour City,,Green,gas,"392,000 Km",https://eg.hatla2ee.com/en/car/jeep/cherokee/7000563,Jeep,Cherokee,250000,Used Jeep Cherokee 1997 for sale Obour City,automatic,1997
,6 October,,Gold,gas,"212,000 Km",https://eg.hatla2ee.com/en/car/fiat/fiat-grand-punto/7000568,Fiat,Grand Punto,220000,Used Fiat Grand Punto 2000 for sale 6 October,manual,2000
,Mohandessin,,Red,gas,"190,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7000571,Nissan,Sunny,560000,Used Nissan Sunny 2020 for sale Mohandessin,automatic,2020
,Cairo,,White,gas,"16,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/eclipse/7000580,Mitsubishi,Eclipse,1295000,Used Mitsubishi Eclipse 2022 for sale Cairo,automatic,2022
,Cairo,,Dark blue,gas,"147,000 Km",https://eg.hatla2ee.com/en/car/mini/cooper/7000582,Mini,Cooper,1100000,Used Mini Cooper 2015 for sale Cairo,automatic,2015
